ticket_date,net_weight_kg,month,day,week_number,quarter,lag_1,lag_2,rolling_7,day_of_week
10/10/2012,30310,1.008318247,10,41,4,1.33350,0.12724,0.88495,-0.49976
10/11/2012,23550,1.008318247,11,41,4,0.71702,1.33312,0.71734,0.00000
10/12/2012,25010,1.008318247,12,41,4,0.01779,0.71673,0.48694,0.49976
10/13/2012,19160,1.008318247,13,41,4,0.16881,0.01761,0.63129,0.99951
10/14/2012,7610,1.008318247,14,41,4,-0.43629,0.16860,0.07018,1.49927
10/15/2012,24400,1.008318247,15,42,4,-1.63099,-0.43641,0.06493,-1.49927
10/16/2012,29930,1.008318247,16,42,4,0.10571,-1.63091,-0.09367,-0.99951
10/17/2012,30000,1.008318247,17,42,4,0.67772,0.10552,-0.10143,-0.49976
10/18/2012,34940,1.008318247,18,42,4,0.68496,0.67743,0.18350,0.00000
10/19/2012,30670,1.008318247,19,42,4,1.19593,0.68467,0.32509,0.49976
10/20/2012,9680,1.008318247,20,42,4,0.75426,1.19557,0.08794,0.99951
10/21/2012,13930,1.008318247,21,42,4,-1.41687,0.75396,0.24604,1.49927
10/22/2012,31300,1.008318247,22,43,4,-0.97727,-1.41683,0.41865,-1.49927
10/23/2012,38340,1.008318247,23,43,4,0.81942,-0.97730,0.62903,-0.99951
10/24/2012,28100,1.008318247,24,43,4,1.54762,0.81912,0.58150,-0.49976
10/25/2012,37880,1.008318247,25,43,4,0.48843,1.54720,0.65505,0.00000
10/26/2012,23140,1.008318247,26,43,4,1.50004,0.48817,0.46668,0.49976
10/27/2012,18130,1.008318247,27,43,4,-0.02462,1.49962,0.67807,0.99951
10/28/2012,7790,1.008318247,28,43,4,-0.54283,-0.02479,0.52447,1.49927
10/29/2012,13670,1.008318247,29,44,4,-1.61237,-0.54293,0.08344,-1.49927
10/30/2012,40760,1.008318247,30,44,4,-1.00416,-1.61230,0.14398,-0.99951
10/31/2012,30380,1.008318247,31,44,4,1.79793,-1.00418,0.20101,-0.49976
11/1/2012,33040,1.298272111,1,44,4,0.72426,1.79748,0.07994,0.00000
11/2/2012,14500,1.298272111,2,44,4,0.99940,0.72397,-0.13620,0.49976
11/3/2012,8810,1.298272111,3,44,4,-0.91831,0.99907,-0.36935,0.99951
11/4/2012,33660,1.298272111,4,44,4,-1.50686,-0.91835,0.27781,1.49927
11/5/2012,28800,1.298272111,5,45,4,1.06353,-1.50681,0.65630,-1.49927
11/6/2012,24330,1.298272111,6,45,4,0.56083,1.06319,0.24529,-0.99951
11/7/2012,31840,1.298272111,7,45,4,0.09847,0.56057,0.28182,-0.49976
11/8/2012,24070,1.298272111,8,45,4,0.87528,0.09828,0.05742,0.00000
11/9/2012,26490,1.298272111,9,45,4,0.07158,0.87497,0.35736,0.49976
